"","Gene","HV","meth","value"
"1","AT1G10920","non-hv","CHH",0.231582965347994
"2","AT1G10920","non-hv","CHG",0.183294672035481
"3","AT1G12210","non-hv","CHH",0.351311320454625
"4","AT1G12210","non-hv","CHG",0.231201126217077
"5","AT1G12220","non-hv","CHH",0.278718555288304
"6","AT1G12220","non-hv","CHG",0.125637755102041
"7","AT1G12280","non-hv","CHH",0.266636020657525
"8","AT1G12280","non-hv","CHG",0.210499592921714
"9","AT1G12290","non-hv","CHH",0.344528369784507
"10","AT1G12290","non-hv","CHG",0.309293545955858
"11","AT1G15890","non-hv","CHH",0.326747996286223
"12","AT1G15890","non-hv","CHG",0.367288834442119
"13","AT1G17600","non-hv","CHH",0.279406049391487
"14","AT1G17600","non-hv","CHG",0.457568215910001
"15","AT1G27170","non-hv","CHH",0.227936540378975
"16","AT1G27170","non-hv","CHG",0.236049401331867
"17","AT1G27180","non-hv","CHH",0.285998185655865
"18","AT1G27180","non-hv","CHG",0.257847428660032
"19","AT1G31540","hv","CHH",0.298698249534969
"20","AT1G31540","hv","CHG",0.150601521764602
"21","AT1G50180","non-hv","CHH",0.344990400682874
"22","AT1G50180","non-hv","CHG",0.210641245485315
"23","AT1G51480","non-hv","CHH",0.258514955837099
"24","AT1G51480","non-hv","CHG",0.328511080360658
"25","AT1G53350","non-hv","CHH",0.285555323304421
"26","AT1G53350","non-hv","CHG",0.116997354497354
"27","AT1G56510","non-hv","CHH",0.285752595581169
"28","AT1G56510","non-hv","CHG",0.225298961652273
"29","AT1G56520","non-hv","CHH",0.285808262799412
"30","AT1G56520","non-hv","CHG",0.232422231344645
"31","AT1G56540","non-hv","CHH",0.266659426775785
"32","AT1G56540","non-hv","CHG",0.356175248511398
"33","AT1G58390","non-hv","CHH",3.83460600312375
"34","AT1G58390","non-hv","CHG",19.2398588846545
"35","AT1G58400","non-hv","CHH",0.361296379609313
"36","AT1G58400","non-hv","CHG",0.32180549351549
"37","AT1G58410","non-hv","CHH",0.241706258525563
"38","AT1G58410","non-hv","CHG",0.236246979123817
"39","AT1G58602","hv","CHH",3.47601353001761
"40","AT1G58602","hv","CHG",39.3908266138961
"41","AT1G58807","hv","CHH",NA
"42","AT1G58807","hv","CHG",NA
"43","AT1G58848","hv","CHH",0.331632653061224
"44","AT1G58848","hv","CHG",0
"45","AT1G59124","hv","CHH",NA
"46","AT1G59124","hv","CHG",NA
"47","AT1G59218","hv","CHH",NA
"48","AT1G59218","hv","CHG",NA
"49","AT1G59620","non-hv","CHH",0.351994570054591
"50","AT1G59620","non-hv","CHG",0.230082244094258
"51","AT1G59780","hv","CHH",0.547359372257618
"52","AT1G59780","hv","CHG",0.70345669345186
"53","AT1G61180","hv","CHH",0.312478745360791
"54","AT1G61180","hv","CHG",0.26150851866026
"55","AT1G61190","hv","CHH",0.188385129996849
"56","AT1G61190","hv","CHG",0.313155231388337
"57","AT1G61300","hv","CHH",0.54441979529817
"58","AT1G61300","hv","CHG",0.346688730047393
"59","AT1G61310","hv","CHH",0.193604153805944
"60","AT1G61310","hv","CHG",0.175887933612705
"61","AT1G62630","hv","CHH",0.229157000703358
"62","AT1G62630","hv","CHG",0.0791139240506329
"63","AT1G63350","non-hv","CHH",0.347089484906206
"64","AT1G63350","non-hv","CHG",0.124971519708362
"65","AT1G63360","hv","CHH",0.271292647126866
"66","AT1G63360","hv","CHG",0.284192624418188
"67","AT1G63730","non-hv","CHH",0.247702017050636
"68","AT1G63730","non-hv","CHG",0.315816391765759
"69","AT1G63740","non-hv","CHH",0.329523922143885
"70","AT1G63740","non-hv","CHG",0.353390737066705
"71","AT1G63750","non-hv","CHH",0.522628489753022
"72","AT1G63750","non-hv","CHG",0.251826274522251
"73","AT1G63870","non-hv","CHH",0.842620370147323
"74","AT1G63870","non-hv","CHG",0.599176366700768
"75","AT1G63880","non-hv","CHH",0.316927033847658
"76","AT1G63880","non-hv","CHG",0.17146970777957
"77","AT1G64070","non-hv","CHH",0.28487697891217
"78","AT1G64070","non-hv","CHG",0.117049552061262
"79","AT1G65850","non-hv","CHH",0.336855966570522
"80","AT1G65850","non-hv","CHG",0.355572174392399
"81","AT1G69550","hv","CHH",0.31434965627258
"82","AT1G69550","hv","CHG",0.311275883740877
"83","AT1G72840","non-hv","CHH",0.294643350558821
"84","AT1G72840","non-hv","CHG",0.189928562453315
"85","AT1G72860","non-hv","CHH",0.279607579427218
"86","AT1G72860","non-hv","CHG",0.353478348028781
"87","AT2G14080","hv","CHH",0.230443966170618
"88","AT2G14080","hv","CHG",0.268480795768891
"89","AT2G16870","non-hv","CHH",0.301513847724991
"90","AT2G16870","non-hv","CHG",0.253230304135282
"91","AT2G17060","non-hv","CHH",0.297043771593422
"92","AT2G17060","non-hv","CHG",0.19723149805828
"93","AT3G04220","non-hv","CHH",0.412807336968708
"94","AT3G04220","non-hv","CHG",0.1907101728563
"95","AT3G07040","non-hv","CHH",0.306374418502693
"96","AT3G07040","non-hv","CHG",0.195452131101276
"97","AT3G14460","non-hv","CHH",0.222123122069388
