"","norm_rank","set"
"1134",0.0441193634984243,"hv"
"7293",0.283741197525581,"hv"
"7586",0.295140645060888,"hv"
"9060",0.352488036415983,"hv"
"9288",0.361358596272809,"hv"
"11530",0.448585768198265,"hv"
"12217",0.475314165661596,"hv"
"12896",0.501731315410652,"hv"
"13244",0.515270590981597,"hv"
"15614",0.607477726335447,"hv"
"16559",0.644243862584134,"hv"
"16767",0.652336303155274,"hv"
"17730",0.689802746761078,"hv"
"18210",0.708477609617554,"hv"
"19052",0.741236431544956,"hv"
"19317",0.751546512080302,"hv"
"20007",0.778391627436486,"hv"
"20415",0.794265260864491,"hv"
"20975",0.816052600863712,"hv"
"21419",0.833326849005953,"hv"
"21433",0.833871532505933,"hv"
"21505",0.836672761934405,"hv"
"21703",0.844376142862701,"hv"
"22378",0.87063766875462,"hv"
"22516",0.876006691825857,"hv"
"22530",0.876551375325837,"hv"
"22785",0.88647239621834,"hv"
"22873",0.889896121075361,"hv"
"23578",0.91732482589581,"hv"
"23854",0.928062872038283,"hv"
"23872",0.928763179395401,"hv"
"1250",0.048632455355406,"non-hv"
"3556",0.138349608995059,"non-hv"
"3654",0.142162393494923,"non-hv"
"4560",0.177411197136521,"non-hv"
"5082",0.197720110492939,"non-hv"
"5630",0.219040578920749,"non-hv"
"5729",0.222892269384897,"non-hv"
"5730",0.222931175349181,"non-hv"
"5776",0.22472084970626,"non-hv"
"5777",0.224759755670544,"non-hv"
"5818",0.226354900206202,"non-hv"
"5910",0.229934248920359,"non-hv"
"6228",0.242306345562775,"non-hv"
"6329",0.246235847955492,"non-hv"
"6446",0.250787845776758,"non-hv"
"6478",0.252032836633856,"non-hv"
"6521",0.253705793098082,"non-hv"
"6558",0.255145313776602,"non-hv"
"6725",0.261642609812084,"non-hv"
"6921",0.269268178811812,"non-hv"
"7431",0.289110220596818,"non-hv"
"7591",0.295335174882309,"non-hv"
"7628",0.296774695560829,"non-hv"
"7720",0.300354044274987,"non-hv"
"7758",0.301832470917792,"non-hv"
"7760",0.30191028284636,"non-hv"
"7837",0.304906042096253,"non-hv"
"7975",0.31027506516749,"non-hv"
"8390",0.326421040345485,"non-hv"
"8407",0.327082441738318,"non-hv"
"8492",0.330389448702486,"non-hv"
"8727",0.339532350309302,"non-hv"
"9085",0.353460685523091,"non-hv"
"9857",0.383496089950589,"non-hv"
"9931",0.386375131307629,"non-hv"
"9966",0.387736840057581,"non-hv"
"10653",0.414465237520912,"non-hv"
"11042",0.429599657627514,"non-hv"
"11120",0.432634322841692,"non-hv"
"11166",0.434423997198771,"non-hv"
"11196",0.4355911761273,"non-hv"
"11200",0.435746799984438,"non-hv"
"11376",0.442594249698479,"non-hv"
"11496",0.447262965412598,"non-hv"
"11563",0.449869665019648,"non-hv"
"11661",0.453682449519511,"non-hv"
"11705",0.455394311948022,"non-hv"
"11785",0.458506789090768,"non-hv"
"12538",0.487802980196864,"non-hv"
"12665",0.492744037660973,"non-hv"
"12750",0.496051044625141,"non-hv"
"12954",0.503987861339143,"non-hv"
"13054",0.507878457767576,"non-hv"
"13827",0.537952768159359,"non-hv"
"13869",0.5395868186593,"non-hv"
"14279",0.555538264015874,"non-hv"
"14280",0.555577169980158,"non-hv"
"14306",0.55658872505155,"non-hv"
"14374",0.559234330622885,"non-hv"
"14512",0.564603353694121,"non-hv"
"14592",0.567715830836867,"non-hv"
"14953",0.581760883943509,"non-hv"
"15076",0.58654631755048,"non-hv"
"15588",0.606466171264055,"non-hv"
"15814",0.615258919192312,"non-hv"
"15837",0.616153756370852,"non-hv"
"15856",0.616892969692254,"non-hv"
"16062",0.624907598334825,"non-hv"
"16343",0.63584017429872,"non-hv"
"16775",0.652647550869548,"non-hv"
"17086",0.664747305761973,"non-hv"
"17130",0.666459168190484,"non-hv"
"17152",0.667315099404739,"non-hv"
"17386",0.676419095047271,"non-hv"
"17388",0.676496906975839,"non-hv"
"17548",0.682721861261331,"non-hv"
"17851",0.694510368439482,"non-hv"
"17893",0.696144418939423,"non-hv"
"18053",0.702369373224915,"non-hv"
"18592",0.723339687974166,"non-hv"
"19010",0.739602381045014,"non-hv"
"19198",0.746916702330467,"non-hv"
"19596",0.762401276115629,"non-hv"
"20207",0.786172820293351,"non-hv"
"20240",0.787456717114734,"non-hv"
"20292",0.789479827257519,"non-hv"
"20435",0.795043380150177,"non-hv"
"20540",0.799128506400031,"non-hv"
"20695",0.805158930864102,"non-hv"
"20722",0.806209391899778,"non-hv"
"20943",0.814807610006614,"non-hv"
"21014",0.817569933470801,"non-hv"
"21950",0.853985916040929,"non-hv"
"22015",0.85651480371941,"non-hv"
"23230",0.903785550324865,"non-hv"
"23295",0.906314438003346,"non-hv"
"24780",0.964089794965568,"non-hv"
