"","norm_rank","set"
"495",0.0208184379862893,"hv"
"522",0.0219539891491778,"hv"
"2989",0.125709719476805,"hv"
"3113",0.130924843335997,"hv"
"3269",0.137485805610464,"hv"
"3485",0.146570214913572,"hv"
"3583",0.150691845060352,"hv"
"4673",0.196534466080666,"hv"
"5302",0.222988602430921,"hv"
"5312",0.223409176935694,"hv"
"5544",0.23316650544644,"hv"
"6775",0.28493922698406,"hv"
"7197",0.302687471085503,"hv"
"7203",0.302939815788367,"hv"
"7431",0.312528914497203,"hv"
"7971",0.335239937754973,"hv"
"8179",0.343987887454263,"hv"
"9128",0.38390040795727,"hv"
"9956",0.418723976952517,"hv"
"10249",0.431046809942381,"hv"
"10368",0.436051646549186,"hv"
"10653",0.448038019935232,"hv"
"11416",0.480127854649451,"hv"
"11647",0.489843125709719,"hv"
"11952",0.502670648105312,"hv"
"12370",0.520250662404845,"hv"
"12895",0.542330823905455,"hv"
"17939",0.754468604113219,"hv"
"19539",0.821760524876982,"hv"
"20294",0.853513899987383,"hv"
"20665",0.86911721411448,"hv"
"469",0.0197249442738781,"non-hv"
"535",0.0225007360053834,"non-hv"
"3093",0.13008369432645,"non-hv"
"4798",0.201791647390335,"non-hv"
"4863",0.204525381671363,"non-hv"
"4867",0.204693611473273,"non-hv"
"5165",0.217226731715523,"non-hv"
"5224",0.219708121293687,"non-hv"
"5333",0.224292383395719,"non-hv"
"5617",0.236236699331287,"non-hv"
"5718",0.240484501829499,"non-hv"
"5764",0.242419144551457,"non-hv"
"7099",0.298565840938722,"non-hv"
"7184",0.302140724229297,"non-hv"
"7340",0.308701686503764,"non-hv"
"7508",0.315767338183959,"non-hv"
"7633",0.321024519493628,"non-hv"
"7889",0.33179122681583,"non-hv"
"7895",0.332043571518695,"non-hv"
"7948",0.334272616393994,"non-hv"
"8012",0.336964293224545,"non-hv"
"8348",0.351095596584935,"non-hv"
"8392",0.352946124405939,"non-hv"
"8822",0.3710308281112,"non-hv"
"8954",0.37658241157421,"non-hv"
"9030",0.379778777810489,"non-hv"
"9377",0.39437271312613,"non-hv"
"9379",0.394456828027085,"non-hv"
"9491",0.399167262480548,"non-hv"
"10092",0.424443790217437,"non-hv"
"10146",0.426714892543214,"non-hv"
"10196",0.428817765067082,"non-hv"
"10515",0.442234091769357,"non-hv"
"10844",0.456070992976406,"non-hv"
"11035",0.46410396601758,"non-hv"
"11079",0.465954493838584,"non-hv"
"11502",0.483744795390503,"non-hv"
"11546",0.485595323211507,"non-hv"
"11757",0.494469445262228,"non-hv"
"12028",0.505867014341591,"non-hv"
"12184",0.512427976616058,"non-hv"
"12220",0.513942044833242,"non-hv"
"12607",0.530218278167978,"non-hv"
"13149",0.553013416326702,"non-hv"
"13342",0.561130504268831,"non-hv"
"13871",0.58337889557135,"non-hv"
"13909",0.58497707868949,"non-hv"
"13918",0.585355595743786,"non-hv"
"14193",0.596921394625058,"non-hv"
"14264",0.59990747360895,"non-hv"
"14367",0.604239391008117,"non-hv"
"14508",0.610169491525424,"non-hv"
"14529",0.611052697985448,"non-hv"
"14649",0.61609959204273,"non-hv"
"14657",0.616436051646549,"non-hv"
"14730",0.619506245531396,"non-hv"
"14910",0.627076586617319,"non-hv"
"14947",0.628632712284981,"non-hv"
"14976",0.629852378348824,"non-hv"
"15387",0.647137990495016,"non-hv"
"15405",0.647895024603608,"non-hv"
"15474",0.650796988686546,"non-hv"
"15809",0.664886234596459,"non-hv"
"15865",0.667241451823191,"non-hv"
"16445",0.691634773100055,"non-hv"
"16510",0.694368507381083,"non-hv"
"16516",0.694620852083947,"non-hv"
"16622",0.699078941834546,"non-hv"
"16787",0.706018421163309,"non-hv"
"17203",0.723514320561888,"non-hv"
"17211",0.723850780165706,"non-hv"
"17984",0.7563611893847,"non-hv"
"18440",0.775539386802372,"non-hv"
"18441",0.775581444252849,"non-hv"
"18656",0.78462379610548,"non-hv"
"19160",0.805820751146066,"non-hv"
"19529",0.821339950372208,"non-hv"
"19660",0.826849476384742,"non-hv"
"19696",0.828363544601926,"non-hv"
"19909",0.837321781553602,"non-hv"
"20300",0.853766244690247,"non-hv"
"20305",0.853976531942634,"non-hv"
"20433",0.859359885603735,"non-hv"
"20625",0.867434916095386,"non-hv"
"20757",0.872986499558397,"non-hv"
"21130",0.888673928586449,"non-hv"
"21634",0.909870883627034,"non-hv"
"21644",0.910291458131808,"non-hv"
"21757",0.915043950035749,"non-hv"
"22258",0.936114732724902,"non-hv"
"22303",0.938007317996383,"non-hv"
"22412",0.942591580098414,"non-hv"
"22423",0.943054212053665,"non-hv"
"23301",0.97998065357278,"non-hv"
"23585",0.991924969508348,"non-hv"
"23654",0.994826933591286,"non-hv"
