"","sample","Gene","HV","TPM","log2_TPM_tissue","tissue","clean_tissue","tissue_group_1","tissue_group_2","dev_order"
"1","AP-1","AT1G56510","non-hv",3.01990277804879,2.00716061003033,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"2","AP-1","AT1G56520","non-hv",0.344446748170264,0.4270126130225,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"3","AP-1","AT1G56540","non-hv",0.672956632370104,0.742400047243855,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"4","AP-1","AT1G10920","non-hv",6.84997415201982,2.97268790358207,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"5","AP-1","AT5G43470","hv",6.23689149870995,2.85537014172708,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"6","AP-1","AT3G07040","non-hv",2.95931620938999,1.98525129229892,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"7","AP-1","AT1G15890","non-hv",0.229846079030485,0.298477766853284,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"8","AP-1","AT1G63350","non-hv",0.0374782191451853,0.0530810487862376,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"9","AP-1","AT4G12010","non-hv",7.33598331504174,3.05935238998079,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"10","AP-1","AT1G63360","hv",1.5709081339961,1.36227805941461,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"11","AP-1","AT5G38850","non-hv",7.28726032986604,3.05089524264139,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"12","AP-1","AT5G22690","non-hv",35.8082215283744,5.20195613925265,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"13","AP-1","AT5G43730","non-hv",4.12352969624045,2.35713805256449,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"14","AP-1","AT5G43740","hv",2.0460971930138,1.6069619751942,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"15","AP-1","AT4G26090","non-hv",14.5746127781972,3.96112438976301,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"16","AP-1","AT1G63730","non-hv",2.00216541744189,1.58600347074552,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"17","AP-1","AT1G63740","non-hv",4.87504295233848,2.55459939923495,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"18","AP-1","AT5G48620","hv",22.9613716673391,4.5826385923724,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"19","AP-1","AT1G63750","non-hv",1.92811525657478,1.5499723421521,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"20","AP-1","AT1G27170","non-hv",7.09995735849224,3.01791431307705,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"21","AP-1","AT1G27180","non-hv",4.32703408282039,2.41333251141505,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"22","AP-1","AT1G63870","non-hv",0.024945247957705,0.0355468437700622,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"23","AP-1","AT1G63880","non-hv",10.0875768784865,3.47087220273516,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"24","AP-1","AT5G48770","non-hv",0.0735193733723072,0.102348227168695,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"25","AP-1","AT4G16860","hv",3.53497157525091,2.18109350811365,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"26","AP-1","AT4G16890","hv",19.832052957727,4.38073311602241,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"27","AP-1","AT4G16900","non-hv",16.3754814046211,4.11898104454729,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"28","AP-1","AT4G16920","hv",0.61341518392604,0.690117738379228,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"29","AP-1","AT4G16940","hv",0.910493596526608,0.933945422168186,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"30","AP-1","AT4G16950","hv",9.96820050308815,3.45525494440005,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"31","AP-1","AT1G64070","non-hv",0,0,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"32","AP-1","AT4G16960","hv",1.1188664585411,1.08329266478816,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"33","AP-1","AT4G36150","non-hv",8.5494591886713,3.25541903179606,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"34","AP-1","AT5G17680","non-hv",2.92468264272815,1.97257599966717,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"35","AP-1","AT1G58390","non-hv",0,0,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"36","AP-1","AT1G58400","non-hv",0.0313807407357443,0.0445770110487865,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"37","AP-1","AT1G58410","non-hv",0.160224746756334,0.214404296408433,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"38","AP-1","AT3G44400","hv",6.21654316868608,2.85130793023386,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"39","AP-1","AT5G49140","non-hv",0.0403245892178369,0.0570337304753329,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"40","AP-1","AT3G50950","non-hv",41.600036108695,5.41278274819794,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"41","AP-1","AT1G58602","hv",1.37056985029649,1.245233903586,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"42","AP-1","AT3G44480","hv",19.5196816038987,4.35893644025532,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"43","AP-1","AT5G17880","non-hv",1.17129586298153,1.11855632244043,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"44","AP-1","AT1G58807","hv",40.7238841729497,5.3828015628173,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"45","AP-1","AT5G17890","non-hv",16.4353853381944,4.12394634425342,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"46","AP-1","AT1G58848","hv",31.298592187646,5.01339937782003,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"47","AP-1","AT5G44510","non-hv",6.47906569643582,2.90285805630172,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"48","AP-1","AT1G59124","hv",40.7238841729497,5.3828015628173,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"49","AP-1","AT5G17970","non-hv",0.0657578577387947,0.0918796922045009,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"50","AP-1","AT1G59218","hv",15.6695121766288,4.05913998021612,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"51","AP-1","AT3G44630","hv",52.4796954981095,5.74091934594656,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"52","AP-1","AT3G44670","hv",19.6071553203626,4.36507345913096,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
"53","AP-1","AT1G59620","non-hv",12.2405351208792,3.72688952523776,"flower stage 15, petal, not applicable","petal","reproductive","flower",9
