"","Gene","HV","name","Ent"
"1","AT1G15890",0,NA,0
"2","AT5G48770",0,NA,0
"3","AT1G17600",0,"SOC3",0.135036202802128
"4","AT3G07040",0,"RPM1",0.143726169939382
"5","AT5G17970",0,NA,0.195909270873605
"6","AT1G12220",0,"RPS5",0.205592508185083
"7","AT1G10920",0,"LOV1",0.225363639127395
"8","AT4G10780",0,NA,0.276195427647939
"9","AT1G12280",0,"SUMM2",0.29747224891929
"10","AT1G72840",0,NA,0.29747224891929
"11","AT5G47280",0,"ADR1-L3",0.309543429150325
"12","AT5G41540",0,NA,0.35910162564855
"13","AT5G45250",0,"RPS4",0.366578012553346
"14","AT5G36930",0,NA,0.371232326640876
"15","AT5G04720",0,"ADR1-L2",0.413816850303634
"16","AT5G22690",0,NA,0.413816850303634
"17","AT5G49140",0,NA,0.430551867010439
"18","AT3G04220",0,NA,0.445064857050839
"19","AT4G09430",0,NA,0.448864488723029
"20","AT4G33300",0,"ADR1-L1",0.519702786504305
"21","AT1G64070",0,"RLM1",0.543564443199596
"22","AT1G63740",0,NA,0.556421567288428
"23","AT5G43730",0,NA,0.571354974427955
"24","AT3G50950",0,"ZAR1",0.572580465623769
"25","AT5G40100",0,NA,0.591672778582327
"26","AT5G35450",0,NA,0.615253891056341
"27","AT3G51560",0,NA,0.631331545392063
"28","AT3G51570",0,NA,0.636015617739215
"29","AT1G63750",0,NA,0.646284118938968
"30","AT4G19510",0,"RPP2B",0.650022421648354
"31","AT1G12290",0,NA,0.676941869780886
"32","AT4G27220",0,NA,0.676941869780886
"33","AT1G59620",0,"CW9",0.678953899518576
"34","AT4G26090",0,"RPS2",0.70246655129039
"35","AT3G14460",0,NA,0.714727473131789
"36","AT5G45260",0,"RRS1",0.714727473131789
"37","AT1G27170",0,NA,0.715322052803885
"38","AT1G72860",0,NA,0.722857897732969
"39","AT1G50180",0,NA,0.732066690093194
"40","AT5G46450",0,NA,0.733898810777628
"41","AT5G47250",0,NA,0.73550858155384
"42","AT1G56520",0,NA,0.742487569542124
"43","AT4G27190",0,NA,0.755375412561429
"44","AT5G38850",0,NA,0.76420450650862
"45","AT2G16870",0,NA,0.76765158701258
"46","AT1G58410",0,NA,0.787126586201269
"47","AT5G17680",0,NA,0.803715923783412
"48","AT5G38340",0,NA,0.811278124459133
"49","AT5G18370",0,"DSC2",0.812799280520397
"50","AT5G51630",0,NA,0.822404225954989
"51","AT2G17060",0,NA,0.829606906448152
"52","AT5G66900",0,"NRG1.2",0.830189971418044
"53","AT5G40910",0,NA,0.830640983527282
"54","AT1G63730",0,NA,0.831474388009729
"55","AT1G65850",0,"HRG1",0.83294582353614
"56","AT3G46710",0,NA,0.83837293770994
"57","AT3G14470",0,NA,0.863120568566631
"58","AT5G44510",0,"TAO1",0.872552520971103
"59","AT1G51480",0,NA,0.872696503910379
"60","AT4G19530",0,NA,0.881290899230693
"61","AT5G05400",0,NA,0.881290899230693
"62","AT5G66910",0,"NRG1.1",0.881290899230693
"63","AT5G18360",0,NA,0.887417927068569
"64","AT4G08450",0,NA,0.918295834054489
"65","AT5G17880",0,"CSA1",0.918295834054489
"66","AT5G45210",0,NA,0.924133541991546
"67","AT5G11250",0,NA,0.924457140996493
"68","AT5G45200",0,NA,0.928839146188321
"69","AT5G46270",0,NA,0.948078243593905
"70","AT5G44870",0,"LAZ5",0.949452015387948
"71","AT5G45050",0,"RRS1B",0.960362270315478
"72","AT4G12010",0,"DSC1",0.9621461334087
"73","AT1G27180",0,NA,0.964078764808229
"74","AT1G53350",0,NA,0.972966126588902
"75","AT5G45060",0,"RPS4B",0.98623253507245
"76","AT4G16900",0,NA,0.986426728730843
"77","AT1G58400",0,NA,0.987692508895803
"78","AT1G63870",0,NA,0.989587521222056
"79","AT5G41550",0,NA,0.990224690219868
"80","AT5G45230",0,NA,0.991076059838222
"81","AT1G12210",0,"RFL1",0.99498482818597
"82","AT5G63020",0,NA,0.996566371327455
"83","AT5G17890",0,"CHS3",0.997180398894264
"84","AT3G46730",0,NA,0.997502546369115
"85","AT1G56540",0,NA,0.999743186071085
"86","AT4G19050",0,NA,0.999777967211891
"87","AT3G25510",0,NA,1
"88","AT5G18350",0,NA,1
"89","AT5G46260",0,NA,1
"90","AT1G56510",0,"WRR4",1.02610424886572
"91","AT5G47260",0,NA,1.08082383543549
"92","AT4G36150",0,NA,1.1034990673876
"93","AT4G14370",0,NA,1.11221292503318
"94","AT1G63350",0,NA,1.15452216244117
"95","AT5G58120",0,NA,1.23971286514401
"96","AT4G11170",1,NA,1.44412964325105
"97","AT1G63880",0,NA,1.47463465581885
"98","AT1G58390",0,NA,1.48161813037755
"99","AT1G59780",1,NA,1.52472319619091
"100","AT5G46510",1,NA,1.62537536200266
"101","AT5G46520",1,"VICTR",1.63869178575011
"102","AT1G31540",1,"RPP9",1.65975906680373
"103","AT2G14080",1,"RPP28",1.80576157633501
"104","AT5G38350",1,NA,1.90836160909633
"105","AT5G43740",1,NA,1.97125183600447
"106","AT1G59124",1,NA,2.01295937698947
"107","AT5G41740",1,"SSI4-LIKE",2.01988781565663
"108","AT5G41750",1,NA,2.11218521471003
"109","AT1G63360",1,NA,2.11753731774125
"110","AT1G62630",1,NA,2.12360994761089
"111","AT5G43470",1,"RPP8",2.13522774609148
"112","AT5G48620",1,NA,2.13522774609148
"113","AT3G46530",1,"RPP13",2.2322287189138
"114","AT1G58807",1,NA,2.23592635062903
"115","AT1G69550",1,NA,2.28054914935492
"116","AT4G16960",1,NA,2.29194818895127
"117","AT1G58848",1,NA,2.35779051912972
"118","AT1G59218",1,NA,2.35779051912972
"119","AT4G16860",1,"RPP4",2.43131267304664
"120","AT1G58602",1,"RPP7",2.43556199483328
"121","AT4G16890",1,"SNC1",2.4437331444296
"122","AT4G16920",1,NA,2.4437331444296
"123","AT4G16950",1,"RPP5",2.4634256747729
