"","Gene","gene_length","HV","Pi","D","nuc_midpoint"
"1","AT5G43730",2544,"non-hv",0.00633949739212897,-2.21037897334167,1275
"2","AT5G43730",2544,"non-hv",0.0167783573046731,-1.68901252108489,375
"3","AT5G43730",2544,"non-hv",0.00726884779516359,-0.512060636626571,2175
"4","AT5G43730",2544,"non-hv",0.0163832253305938,-1.78029762381889,450
"5","AT5G43730",2544,"non-hv",0.0120552131078447,-1.986980980734,600
"6","AT5G43730",2544,"non-hv",0.0079611190137506,-1.45832624233096,1050
"7","AT5G43730",2544,"non-hv",0.0135935935935936,-1.43534042540996,150
"8","AT5G43730",2544,"non-hv",0.00391180654338549,-2.24578167786702,1125
"9","AT5G43730",2544,"non-hv",0.00984774247932143,-1.92069850184767,675
"10","AT5G43730",2544,"non-hv",0.0131073178441599,-1.8539296977388,525
"11","AT5G43730",2544,"non-hv",0.00616405879563774,-2.18090142727603,1200
"12","AT5G43730",2544,"non-hv",0.00761182234866445,-1.42535254213938,2325
"13","AT5G43730",2544,"non-hv",0.0147347347347347,-1.66717579145751,300
"14","AT5G43730",2544,"non-hv",0.00268847795163585,-0.369353319732957,1950
"15","AT5G43730",2544,"non-hv",0.0129329329329329,-1.29810221966471,225
"16","AT5G43730",2544,"non-hv",0.0132811759127549,-0.921809763141503,900
"17","AT5G43730",2544,"non-hv",0.00599336178283547,-0.474297135421922,2100
"18","AT5G43730",2544,"non-hv",0.00684684684684685,-2.17838537152504,1350
"19","AT5G43730",2544,"non-hv",0.00936936936936937,-2.05130560041581,1425
"20","AT5G43730",2544,"non-hv",0.0111996206733049,-1.09963444309448,975
"21","AT5G43730",2544,"non-hv",0.0122949265054528,-1.85439823889461,1725
"22","AT5G43730",2544,"non-hv",0.0120810283968179,-1.70879864104072,750
"23","AT5G43730",2544,"non-hv",0.0052344010677344,-0.960444763865654,2472
"24","AT5G43730",2544,"non-hv",0.00490324498976265,-1.82551137801318,2434.5
"25","AT5G43730",2544,"non-hv",0.00312944523470839,-0.0334825075301441,2025
"26","AT5G43730",2544,"non-hv",0.00733522996680891,-1.79420127540502,1800
"27","AT5G43730",2544,"non-hv",0.00447605500237079,-1.31308879395385,1875
"28","AT5G43730",2544,"non-hv",0.00575226139135914,-1.58719257584714,2397
"29","AT5G43730",2544,"non-hv",0.00833570412517781,-1.24973367768094,2250
"30","AT5G43730",2544,"non-hv",0.0151161688003793,-1.94181895353425,1575
"31","AT5G43730",2544,"non-hv",0.0156946420104315,-1.92178343248711,1650
"32","AT5G43730",2544,"non-hv",0.0172730625362204,-1.39056905722204,825
"33","AT5G43730",2544,"non-hv",0.0125177809388336,-1.9763941639101,1500
"34","AT5G43740",2697,"hv",0.0422071821926049,-0.762546267887395,150
"35","AT5G43740",2697,"hv",0.0396269841269841,-0.800622061912625,225
"36","AT5G43740",2697,"hv",0.0321632653061224,0.0174787034645183,1050
"37","AT5G43740",2697,"hv",0.0558504752255512,0.13248665058757,2100
"38","AT5G43740",2697,"hv",0.044537641723356,0.940131813238533,1200
"39","AT5G43740",2697,"hv",0.0627292517006802,0.236279389149011,375
"40","AT5G43740",2697,"hv",0.0345360544217687,0.187463314333074,900
"41","AT5G43740",2697,"hv",0.0620220750711632,0.481069918120057,2025
"42","AT5G43740",2697,"hv",0.0541197278911564,0.41568507650906,525
"43","AT5G43740",2697,"hv",0.0726957712162879,-0.231894046062814,1875
"44","AT5G43740",2697,"hv",0.0685145920779659,-0.230860447526254,1950
"45","AT5G43740",2697,"hv",0.0478448979591836,0.0716442166332403,600
"46","AT5G43740",2697,"hv",0.0291020408163265,0.098714957400334,1125
"47","AT5G43740",2697,"hv",0.0371455782312925,0.292304063504435,975
"48","AT5G43740",2697,"hv",0.0443056689342404,0.827603740791511,1275
"49","AT5G43740",2697,"hv",0.0416870748299319,-0.0599186391948278,825
"50","AT5G43740",2697,"hv",0.0312571428571429,-0.492371808126353,675
"51","AT5G43740",2697,"hv",0.0475809523809524,-0.478309417053745,300
"52","AT5G43740",2697,"hv",0.0351700680272109,-0.315315273088455,750
"53","AT5G43740",2697,"hv",0.0853993819235989,-0.0711484282428065,2250
"54","AT5G43740",2697,"hv",0.0475140589569161,1.21485531012431,1350
"55","AT5G43740",2697,"hv",0.0583537414965987,0.421812601888927,450
"56","AT5G43740",2697,"hv",0.0870990591981473,0.353864733190573,1800
"57","AT5G43740",2697,"hv",0.0839447375769565,1.37799815836089,1575
"58","AT5G43740",2697,"hv",0.0928603495270161,0.385517306887709,1725
"59","AT5G43740",2697,"hv",NA,NA,2623.5
"60","AT5G43740",2697,"hv",0.0626250180923434,1.81989085311048,1425
"61","AT5G43740",2697,"hv",0.100937849391992,0.239344204828842,2325
"62","AT5G43740",2697,"hv",0.072228248808003,0.303813262558137,2175
"63","AT5G43740",2697,"hv",0.131218521944701,1.13600126500199,2586
"64","AT5G43740",2697,"hv",0.0709262305108303,1.27029921971731,1500
"65","AT5G43740",2697,"hv",0.096724233213595,1.44818537069366,1650
"66","AT5G43740",2697,"hv",0.126497348990989,1.63913837805451,2548.5
"67","AT5G43740",2697,"hv",0.124851453851428,0.942190139567073,2475
"68","AT5G43740",2697,"hv",0.119118021861844,0.606881100236462,2400
