"","Gene","Chrom","meth_context","source_name","mean_meth_percentage","HV"
"1","AT1G10920","Chr1","CpG","Embryos",5.94342661306947,"non-hv"
"2","AT1G10920","Chr1","CpG","Closed flower buds",8.2830810603472,"non-hv"
"3","AT1G10920","Chr1","CpG","Rosette leaf",7.61141157692882,"non-hv"
"4","AT1G10920","Chr1","CpG","Cauline leaf",4.29272564353209,"non-hv"
"5","AT1G12210","Chr1","CpG","Rosette leaf",0,"non-hv"
"6","AT1G12210","Chr1","CpG","Embryos",0,"non-hv"
"7","AT1G12210","Chr1","CpG","Closed flower buds",0.793650793650793,"non-hv"
"8","AT1G12210","Chr1","CpG","Cauline leaf",0,"non-hv"
"9","AT1G12220","Chr1","CpG","Cauline leaf",23.309934295688,"non-hv"
"10","AT1G12220","Chr1","CpG","Closed flower buds",38.8080920523478,"non-hv"
"11","AT1G12220","Chr1","CpG","Embryos",30.1952908202908,"non-hv"
"12","AT1G12220","Chr1","CpG","Rosette leaf",27.786987888393,"non-hv"
"13","AT1G12280","Chr1","CpG","Embryos",48.7663007896059,"non-hv"
"14","AT1G12280","Chr1","CpG","Cauline leaf",23.3789016539017,"non-hv"
"15","AT1G12280","Chr1","CpG","Rosette leaf",32.0164270595305,"non-hv"
"16","AT1G12280","Chr1","CpG","Closed flower buds",45.6634692278274,"non-hv"
"17","AT1G12290","Chr1","CpG","Rosette leaf",47.6419558101497,"non-hv"
"18","AT1G12290","Chr1","CpG","Cauline leaf",52.2409286210571,"non-hv"
"19","AT1G12290","Chr1","CpG","Embryos",48.955136699582,"non-hv"
"20","AT1G12290","Chr1","CpG","Closed flower buds",48.8710948242137,"non-hv"
"21","AT1G15890","Chr1","CpG","Cauline leaf",9.88256113256113,"non-hv"
"22","AT1G15890","Chr1","CpG","Closed flower buds",21.7483085226893,"non-hv"
"23","AT1G15890","Chr1","CpG","Rosette leaf",23.4320691385909,"non-hv"
"24","AT1G15890","Chr1","CpG","Embryos",14.3186813186813,"non-hv"
"25","AT1G17600","Chr1","CpG","Cauline leaf",2.86991063605896,"non-hv"
"26","AT1G17600","Chr1","CpG","Embryos",5.34866896169457,"non-hv"
"27","AT1G17600","Chr1","CpG","Rosette leaf",2.26220853288868,"non-hv"
"28","AT1G17600","Chr1","CpG","Closed flower buds",4.46045998596469,"non-hv"
"29","AT1G27170","Chr1","CpG","Closed flower buds",0.717787967935766,"non-hv"
"30","AT1G27170","Chr1","CpG","Cauline leaf",0.70866182128197,"non-hv"
"31","AT1G27170","Chr1","CpG","Embryos",0.635126417677296,"non-hv"
"32","AT1G27170","Chr1","CpG","Rosette leaf",0.624216733087701,"non-hv"
"33","AT1G27180","Chr1","CpG","Cauline leaf",6.9607751853069,"non-hv"
"34","AT1G27180","Chr1","CpG","Rosette leaf",7.87769429292893,"non-hv"
"35","AT1G27180","Chr1","CpG","Closed flower buds",7.91930939042284,"non-hv"
"36","AT1G27180","Chr1","CpG","Embryos",7.78575253540829,"non-hv"
"37","AT1G31540","Chr1","CpG","Embryos",0.659851667939903,"hv"
"38","AT1G31540","Chr1","CpG","Rosette leaf",0.584696903504243,"hv"
"39","AT1G31540","Chr1","CpG","Cauline leaf",0.328353563647681,"hv"
"40","AT1G31540","Chr1","CpG","Closed flower buds",0.0945017182130584,"hv"
"41","AT1G50180","Chr1","CpG","Rosette leaf",31.8424057145862,"non-hv"
"42","AT1G50180","Chr1","CpG","Closed flower buds",31.5544166303521,"non-hv"
"43","AT1G50180","Chr1","CpG","Cauline leaf",32.219669784715,"non-hv"
"44","AT1G50180","Chr1","CpG","Embryos",27.9655039098973,"non-hv"
"45","AT1G51480","Chr1","CpG","Rosette leaf",0.0712250712250712,"non-hv"
"46","AT1G51480","Chr1","CpG","Closed flower buds",2.37833407931815,"non-hv"
"47","AT1G51480","Chr1","CpG","Embryos",0.213206627680312,"non-hv"
